Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care Instructions (product.metafields.custom.care_instructions),Materials (product.metafields.custom.materials),Shipping & Returns (product.metafields.custom.shipping_returns),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / International,Price / International,Compare At Price / International,Status
baby-blanket-sage-with-cotton-bloom,"Baby Blanket — Organic Egyptian Cotton, Sage Cotton Bloom","<p>Wrap your baby in the world's softest cotton.</p>

<p>This baby blanket is crafted from 100% organic Egyptian cotton in our beautiful Sage Cotton Bloom print — a delicate, scattered motif inspired by the cotton flower. Generously sized and finished with neatly bound edges.</p>

<p>The extra-long staple Egyptian cotton fibres create a fabric that is soft, breathable and naturally temperature regulating — warm in winter, cool in summer. Gets softer and more beautiful with every wash. A piece to be treasured and passed on.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Beautiful Cotton Bloom print</li>
<li>Generously sized</li>
<li>Naturally temperature regulating</li>
<li>Bound edges for a neat finish</li>
<li>GOTS certified organic</li>
</ul>

<p>Perfect for swaddling, the pram, the cot and as a comforter. A beautiful gift for new parents.</p>",Caico Cotton,Home & Garden > Linens & Bedding > Bedding > Blankets,Baby & Toddler,"accessories, baby, blanket, cotton bloom, gift, organic egyptian cotton",true,Size,One Size,,,,,,,,BB-SAGE-1SIZE,0.0,shopify,30,deny,manual,34.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07709.jpg?v=1687128682,1,"Baby blanket in sage cotton bloom organic Egyptian cotton, front view",false,Baby Blanket Sage Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Luxuriously soft organic Egyptian cotton baby blanket in Sage Cotton Bloom. GOTS certified, hypoallergenic. Perfect for gifting. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Our cotton is 100% natural at every stage — no chemical processing, no blends.

Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,276.50,true,,,active
baby-blanket-sage-with-cotton-bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07708.jpg?v=1687128682,2,"Baby blanket in sage cotton bloom organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,,,,,,,
baby-blanket-sage-with-cotton-bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07711.jpg?v=1687128681,3,"Baby blanket in sage cotton bloom organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeved-baby-bodysuit,"Newborn Short Sleeve Bodysuit — Organic Egyptian Cotton, Sage Cotton Bloom","<p>A beautifully soft everyday essential in our signature Cotton Bloom print.</p>

<p>This short sleeve bodysuit is crafted from 100% organic Egyptian cotton with a delicate all-over Cotton Bloom motif. Shoulder snap closures allow easy dressing, while crotch poppers make nappy changes quick and simple.</p>

<p>The relaxed fit allows natural movement throughout the day. Extra-long staple Egyptian cotton fibres create a smooth, gentle fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Beautiful Cotton Bloom all-over print</li>
<li>Shoulder snaps for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Lightweight and breathable</li>
<li>Gentle on sensitive skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our Sage Cotton Bloom. Perfect for everyday wear and a lovely gift.</p>",Caico Cotton,Apparel & Accessories > Clothing > Baby & Toddler Clothing,Baby & Toddler,"bodysuit, cotton bloom, newborn, Newborn Essentials, organic egyptian cotton",true,Size,1-3M,,,,,,,,BBSS-SAGE-1-3M,0.0,shopify,27,deny,manual,17.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07706.jpg?v=1687127011,1,"Newborn short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, front view",false,Newborn Short Sleeve Bodysuit Sage Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton newborn bodysuit in Sage Cotton Bloom. GOTS certified, hypoallergenic. Gentle on newborn skin. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,91.25,true,,,active
short-sleeved-baby-bodysuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07716.jpg?v=1687127029,2,"Newborn short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,,,,,,,
short-sleeved-baby-bodysuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07717.jpg?v=1687127044,3,"Newborn short sleeve bodysuit in sage cotton bloom organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,,,,,,,
long-sleeved-baby-bodysuit-sage-with-cotton-bloom,"Baby Long Sleeve Bodysuit — Organic Egyptian Cotton, Sage Cotton Bloom","<p>Soft enough for all day, beautiful enough for every occasion.</p>

<p>This long sleeve bodysuit is crafted from 100% organic Egyptian cotton in our signature Cotton Bloom print — a delicate all-over motif inspired by the cotton flower. A henley-style snap placket at the chest allows easy dressing, while crotch poppers make nappy changes simple.</p>

<p>Extra-long staple Egyptian cotton fibres create a smooth, breathable fabric that gets softer with every wash. Long sleeves provide warmth and coverage while remaining lightweight enough for layering.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Beautiful Cotton Bloom all-over print</li>
<li>Henley-style snap placket for easy dressing</li>
<li>Crotch poppers for quick nappy changes</li>
<li>Naturally breathable and temperature regulating</li>
<li>Gentle on sensitive skin</li>
<li>GOTS certified organic</li>
</ul>

<p>In our Sage Cotton Bloom. A beautiful everyday piece and a lovely gift.</p>",Caico Cotton,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops,Baby & Toddler,"baby, Baby Clothes, bodysuit, cotton bloom, organic egyptian cotton",true,Size,3-6M,,,,,,,,BBLS-SAGE-3-6M,0.0,shopify,29,deny,manual,18.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07705.jpg?v=1687128263,1,"Baby long sleeve bodysuit in sage cotton bloom organic Egyptian cotton, front view",false,Baby Long Sleeve Bodysuit Sage Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton long sleeve bodysuit in Sage Cotton Bloom. GOTS certified, hypoallergenic. Sizes 3-18M. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,99.45,true,,,active
long-sleeved-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,6-9M,,,,,,,,BBLS-SAGE-6-9M,0.0,shopify,26,deny,manual,18.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07715.jpg?v=1687128277,2,"Baby long sleeve bodysuit in sage cotton bloom organic Egyptian cotton, back view",,,,,,,,,,,,,,,,,,,,kg,,99.45,,,,
long-sleeved-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,9-12M,,,,,,,,BBLS-SAGE-9-12M,0.0,shopify,28,deny,manual,18.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07717_f6833c53-7913-48d0-9a4b-030299a11ab3.jpg?v=1687128290,3,"Baby long sleeve bodysuit in sage cotton bloom organic Egyptian cotton, detail view",,,,,,,,,,,,,,,,,,,,kg,,99.45,,,,
long-sleeved-baby-bodysuit-sage-with-cotton-bloom,,,,,,,,,12-18M,,,,,,,,BBLS-SAGE-12-18M,0.0,shopify,26,deny,manual,18.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,99.45,,,,
overall-jumpsuit-sage-with-cotton-bloom,"Baby Sleepsuit — Organic Egyptian Cotton, Sage Cotton Bloom","<p>Designed for comfort from morning to night.</p>

<p>This sleepsuit is crafted from 100% organic Egyptian cotton in our beautiful Cotton Bloom print — a delicate all-over motif inspired by the cotton flower. A full-length diagonal zip makes dressing quick and fuss-free, with a zip guard at the top to protect delicate skin.</p>

<p>The relaxed fit allows complete freedom of movement for play, crawling and sleep. Fold-over cuffs at the wrists and ankles keep little hands and feet warm when needed. Extra-long staple Egyptian cotton fibres create an exceptionally soft, breathable fabric that gets softer with every wash.</p>

<p><strong>Why Parents Love It</strong></p>
<ul>
<li>100% Organic Egyptian Cotton</li>
<li>Beautiful Cotton Bloom all-over print</li>
<li>Full-length zip for easy dressing</li>
<li>Zip guard to protect delicate skin</li>
<li>Fold-over cuffs at wrists and ankles</li>
<li>Relaxed fit for comfort and movement</li>
<li>GOTS certified organic</li>
</ul>

<p>In our Sage Cotton Bloom. A beautiful piece for everyday wear and a lovely gift.</p>",Caico Cotton,Apparel & Accessories > Clothing > One-Pieces > Overalls,"","baby, Baby Clothes, cotton bloom, jumpsuit, organic egyptian cotton",true,Size,3-6M,,,,,,,,OJWZ-SAGE-3-6M,0.0,shopify,24,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/unnamed_6.jpg?v=1774606562,1,"",false,Baby Sleepsuit Sage Cotton Bloom — Organic Egyptian Cotton | Caico Cotton,"Organic Egyptian cotton baby sleepsuit in Sage Cotton Bloom. GOTS certified, hypoallergenic. Perfect for gifting. Free UK delivery over £50.",,,,,,,,,,,,"Machine wash at 30°C on a gentle cycle
Use a mild, non-biological detergent
Wash with similar colours
Do not bleach
Tumble dry on low heat or lay flat to dry
Iron on medium heat if needed
Do not dry clean

Egyptian cotton becomes softer with every wash. We recommend washing before first wear for maximum softness.","100% GOTS certified organic Egyptian cotton

Our fabric is woven from extra-long staple Egyptian cotton fibres (35–40mm), grown along the banks of the Nile Delta without pesticides, synthetic fertilisers or harmful chemicals.

Unlike bamboo viscose blends which undergo chemical processing, our cotton is 100% natural at every stage — from field to finished garment.

Fasteners: YKK nickel-free snaps
Certification: GOTS (Global Organic Textile Standard)
Production: Fairtrade certified factory","UK Delivery
Standard UK delivery: 2–3 working days — £3.95
Free UK delivery on orders over £50

Orders placed before 2pm on weekdays are usually dispatched the same day from our UK warehouse.

Returns
We offer a 14-day return and exchange policy. Items must be unworn, unwashed and in original condition with labels attached. Email info@caicocotton.com with your order number to start a return.

Full details at caicocotton.com/pages/shipping-and-returns",,,kg,,141.41,true,,,active
overall-jumpsuit-sage-with-cotton-bloom,,,,,,,,,6-9M,,,,,,,,OJWZ-SAGE-6-9M,0.0,shopify,28,deny,manual,29.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0559/8003/2097/files/DSC07701.jpg?v=1774606562,2,"Baby sleepsuit in sage cotton bloom organic Egyptian cotton, front view",,,,,,,,,,,,,,,,,,,,kg,,141.41,,,,
